County,Site,LabSampleNum,WRIANumber,CollectDate,Parameter,Toxin Concentration (µg/L),MDL (µg/L),ExceedInd,ScumInd,Location,ClientLocator,SiteID
King,West Green Lake Beach,L65943-12,8,08/22/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65902-12,8,08/15/2016,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L65902-12,8,08/15/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65870-12,8,08/08/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65832-12,8,08/01/2016,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L65832-12,8,08/01/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65753-12,8,07/25/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65710-12,8,07/18/2016,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L65710-12,8,07/18/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65680-12,8,07/11/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65646-12,8,07/05/2016,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L65646-12,8,07/05/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65601-12,8,06/27/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65568-12,8,06/20/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65530-12,8,06/13/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L65481-12,8,06/06/2016,Microcystin,<MDL,0.200,No,No,,,213
King,West Green Lake Beach,L64021-9,8,10/26/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63927-9,8,10/19/2015,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L63927-9,8,10/19/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63846-23,8,10/12/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63846-9,8,10/12/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63818-9,8,10/05/2015,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L63818-9,8,10/05/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63818-23,8,10/05/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63801-9,8,09/28/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63745-9,8,09/21/2015,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L63745-9,8,09/21/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63662-12,8,09/14/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63599-12,8,09/08/2015,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L63599-12,8,09/08/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63513-12,8,08/31/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63493-12,8,08/24/2015,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L63493-12,8,08/24/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63433-12,8,08/17/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63264-12,8,08/10/2015,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L63264-12,8,08/10/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63259-12,8,08/03/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63179-12,8,07/27/2015,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L63179-12,8,07/27/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63178-12,8,07/20/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63119-12,8,07/13/2015,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L63119-12,8,07/13/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63115-12,8,07/06/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63063-12,8,06/29/2015,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L63063-12,8,06/29/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L63008-12,8,06/22/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L62981-12,8,06/15/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L62938-12,8,06/08/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L62857-12,8,06/01/2015,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L61451-22,8,10/27/2014,Microcystin,1230.000,0.160,Yes,No,,,213
King,West Green Lake Beach,L61451-9,8,10/27/2014,Microcystin,0.432,0.160,No,No,,,213
King,West Green Lake Beach,L61449-9,8,10/20/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L61449-9,8,10/20/2014,Microcystin,0.432,0.160,No,No,,,213
King,West Green Lake Beach,L61278-9,8,10/13/2014,Microcystin,0.535,0.160,No,No,,,213
King,West Green Lake Beach,L61226-9,8,10/06/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L61226-9,8,10/06/2014,Microcystin,0.548,0.160,No,No,,,213
King,West Green Lake Beach,L61225-9,8,09/29/2014,Microcystin,1.020,0.160,No,No,,,213
King,West Green Lake Beach,L61224-9,8,09/22/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L61224-9,8,09/22/2014,Microcystin,0.500,0.160,No,No,,,213
King,West Green Lake Beach,L61053-12,8,09/15/2014,Microcystin,0.578,0.160,No,No,,,213
King,West Green Lake Beach,L61052-12,8,09/08/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L61052-12,8,09/08/2014,Microcystin,0.706,0.160,No,No,,,213
King,West Green Lake Beach,L60939-28,8,09/02/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L60939-28,8,09/02/2014,Microcystin,8.050,0.160,Yes,No,,,213
King,West Green Lake Beach,L60939-12,8,09/02/2014,Microcystin,0.646,0.160,No,No,,,213
King,West Green Lake Beach,L60865-26,8,08/25/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L60865-12,8,08/25/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L60865-12,8,08/25/2014,Microcystin,1.750,0.160,No,No,,,213
King,West Green Lake Beach,L60865-26,8,08/25/2014,Microcystin,18.600,0.160,Yes,No,,,213
King,West Green Lake Beach,L60765-12,8,08/18/2014,Microcystin,0.360,0.160,No,No,,,213
King,West Green Lake Beach,L60729-12,8,08/11/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L60729-12,8,08/11/2014,Microcystin,0.360,0.160,No,No,,,213
King,West Green Lake Beach,L60667-12,8,08/04/2014,Microcystin,0.340,0.160,No,No,,,213
King,West Green Lake Beach,L60634-12,8,07/28/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L60634-12,8,07/28/2014,Microcystin,0.215,0.160,No,No,,,213
King,West Green Lake Beach,L60633-12,8,07/21/2014,Microcystin,0.172,0.160,No,No,,,213
King,West Green Lake Beach,L60567-12,8,07/14/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L60567-12,8,07/14/2014,Microcystin,0.340,0.160,No,No,,,213
King,West Green Lake Beach,L60493-12,8,07/07/2014,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L60437-12,8,06/30/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L60437-12,8,06/30/2014,Microcystin,0.199,0.160,No,No,,,213
King,West Green Lake Beach,L60428-12,8,06/23/2014,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L60426-12,8,06/16/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L60426-12,8,06/16/2014,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L60410-12,8,06/09/2014,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L60362-12,8,06/02/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L60362-12,8,06/02/2014,Microcystin,0.160,0.160,No,No,,,213
King,West Green Lake Beach,L60346-12,8,05/27/2014,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L60346-12,8,05/27/2014,Microcystin,5.010,0.160,No,No,,,213
King,West Green Lake Beach,L58823-9,8,10/28/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58822-9,8,10/21/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L58822-9,8,10/21/2013,Microcystin,0.237,0.160,No,No,,,213
King,West Green Lake Beach,L58821-9,8,10/14/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58820-9,8,10/07/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
